Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
50345,80,6,24137,4,6,930,272,507,0,232.5,270.649219470517,145,0,45.3333333333333,70.4603907643625,49799.0636781704,414.301694493931,2681.88888888889,2914.30748396787,8620,143,17136,5712,8159.15639021584,15133,928,24137,4827.4,3750.08723898525,10766,1367,0,0,0,0,128,212,165.720677797572,248.581016696358,0,507,109.272727272727,184.874601235048,34178.6181818182,0,1,0,0,0,0,0,0,1,120.2,232.5,45.3333333333333,0,0,0,0,0,0,4,930,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50345,80,6,1184,1,1,0,0,0,0,0,0,0,0,0,0,0,1689.18918918919,1184,0,1184,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,844.594594594595,844.594594594595,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2054,0,0,0,0,0,0,0,0,0,0,Phishing
50350,80,6,964089,43,45,356,59195,356,0,8.27906976744186,54.2894910384073,1448,0,1315.44444444444,408.91105698581,61769.1935080682,91.2778799467684,11081.4827586207,35875.9913231035,196300,1,815484,19416.2857142857,45154.5123841248,196300,1,964089,21911.1136363636,115550.132540597,758468,1,0,0,0,0,1448,1460,44.6016913376255,46.6761886091429,0,1448,669.112359550562,719.10078693972,517105.941777324,0,1,0,0,0,0,0,0,1,676.715909090909,8.27906976744186,1315.44444444444,0,0,0,0,0,0,43,356,45,59195,-1,507,1,0,0,0,0,0,0,0,0,0,Phishing
62370,53,17,54331,0,2,0,148,0,0,0,0,108,40,74,48.0832611206852,2724.04336382544,36.8113968084519,54331,0,54331,54331,0,0,0,0,0,54331,54331,0,54331,54331,0,0,0,0,0,16,0,36.8113968084519,40,108,62.6666666666667,39.2598183048946,1541.33333333333,0,0,0,0,0,0,0,0,0,94,0,74,0,0,0,0,0,0,0,0,2,148,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
65209,53,17,89229,0,2,0,106,0,0,0,0,61,45,53,11.3137084989848,1187.95458875478,22.414237523675,89229,0,89229,89229,0,0,0,0,0,89229,89229,0,89229,89229,0,0,0,0,0,16,0,22.414237523675,45,61,50.3333333333333,9.23760430703401,85.3333333333333,0,0,0,0,0,0,0,0,0,75.5,0,53,0,0,0,0,0,0,0,0,2,106,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
50350,80,6,5498,2,1,0,0,0,0,0,0,0,0,0,0,0,545.652964714442,2749,1839.8918446474,4050,1448,1448,1448,0,1448,1448,0,0,0,0,0,0,0,0,0,64,32,363.768643142961,181.884321571481,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,1984,0,0,0,0,0,0,0,0,0,0,Phishing
52636,53,17,99857,0,2,0,230,0,0,0,0,194,36,115,111.722871427475,2303.29371000531,20.0286409565679,99857,0,99857,99857,0,0,0,0,0,99857,99857,0,99857,99857,0,0,0,0,0,16,0,20.0286409565679,36,194,88.6666666666667,91.2213425319609,8321.33333333333,0,0,0,0,0,0,0,0,0,133,0,115,0,0,0,0,0,0,0,0,2,230,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
50284,443,6,58063101,1,5,0,39,0,0,0,0,39,0,7.8,17.4413302244984,0.671683036701743,0.103335851800268,11612620.2,19841826.8360094,45896121,8,0,0,0,0,0,58063101,14515775.25,21748512.4642983,46035209,8,0,0,0,0,20,148,0.017222641966711,0.086113209833557,0,39,5.57142857142857,14.7406144473599,217.285714285714,0,0,0,0,1,0,0,0,5,6.5,0,7.8,0,0,0,0,0,0,1,0,5,39,-1,133,0,0,113222,36580.0480043425,139088,87356,28918324.5,24010230.0695105,45896121,11940528,Phishing
50284,443,6,953,2,2,0,0,0,0,0,0,0,0,0,0,0,4197.27177334732,317.666666666667,375.159077370298,732,1,220,220,0,220,220,953,953,0,953,953,0,0,0,0,64,64,2098.63588667366,2098.63588667366,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,133,0,0,0,0,0,0,0,0,0,0,Phishing
443,50284,6,1,1,1,63,24,63,63,63,0,24,24,24,0,87000000,2000000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,1000000,1000000,24,63,37,22.5166604983954,507,0,0,0,1,1,0,0,0,1,55.5,63,24,0,0,0,0,0,0,1,63,1,24,-1,133,1,0,0,0,0,0,0,0,0,0,Phishing
50306,443,6,13644449,25,28,196,28277,118,0,7.84,25.3552755851716,1348,0,1009.89285714286,542.578776617717,2086.78269089503,3.88436352395029,262393.25,1802967.94291373,13011311,3,13318321,554930.041666667,2657320.97259446,13029009,36,13644449,505349.962962963,2513486.08580095,13079985,3,0,1,0,0,812,896,1.83224694525957,2.05211657869072,0,1348,529.462962962963,635.407036769314,403742.102375961,0,0,0,1,1,0,0,0,1,539.452830188679,7.84,1009.89285714286,0,0,0,0,0,0,25,196,28,28277,-1,265,3,0,349287,0,349287,349287,13011311,0,13011311,13011311,Phishing
50352,80,6,22833,3,6,933,272,507,0,311,272.361891607471,145,0,45.3333333333333,70.4603907643625,52774.4930582928,394.166338194718,2854.125,3203.21126538889,7500,9,956,478,156.977705423414,589,367,22833,4566.6,3475.27514018674,8181,9,0,0,0,0,96,212,131.388779398239,262.777558796479,0,507,120.5,191.623618354083,36719.6111111111,0,1,0,0,0,0,0,0,2,133.888888888889,311,45.3333333333333,0,0,0,0,0,0,3,933,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50351,443,6,23811013,53,46,50150,6217,1348,0,946.22641509434,568.549187423211,1348,0,135.152173913043,352.892364288244,2367.26593698471,4.15773994999709,242969.520408163,1570071.14908811,15487769,0,23345744,448956.615384616,2142988.07846953,15487769,0,23811013,529133.622222222,2396208.77666202,16099950,0,0,0,0,0,1696,1504,2.22586078131157,1.93187916868552,0,1348,563.67,627.114605462063,393272.728383838,0,1,0,0,0,0,0,0,0,569.363636363636,946.22641509434,135.152173913043,0,0,0,0,0,0,53,50150,46,6217,-1,90,44,0,1770453,0,1770453,1770453,15487769,0,15487769,15487769,Phishing
50352,80,6,1102,2,1,0,0,0,0,0,0,0,0,0,0,0,2722.32304900181,551,671.75144212722,1026,76,1026,1026,0,1026,1026,0,0,0,0,0,0,0,0,0,64,32,1814.88203266788,907.441016333938,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,2056,0,0,0,0,0,0,0,0,0,0,Phishing
61286,53,17,134155,0,2,0,169,0,0,0,0,137,32,84.5,74.2462120245875,1259.7368715292,14.9081286571503,134155,0,134155,134155,0,0,0,0,0,134155,134155,0,134155,134155,0,0,0,0,0,16,0,14.9081286571503,32,137,67,60.6217782649107,3675,0,0,0,0,0,0,0,0,0,100.5,0,84.5,0,0,0,0,0,0,0,0,2,169,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
50353,80,6,127199,34,45,356,59195,356,0,10.4705882352941,61.0534963107332,1448,0,1315.44444444444,408.91105698581,468171.919590563,621.074065047681,1630.75641025641,6565.8163282852,57700,23,68663,2080.69696969697,2012.91159587376,10090,260,127199,2890.88636363636,8605.3673467687,57700,288,0,0,0,0,1088,1460,267.29769888128,353.776366166401,0,1448,744.3875,720.606398889333,519273.582120253,0,1,0,0,0,0,0,0,1,753.810126582279,10.4705882352941,1315.44444444444,0,0,0,0,0,0,34,356,45,59195,-1,507,1,0,0,0,0,0,0,0,0,0,Phishing
57512,53,17,498514,0,2,0,193,0,0,0,0,161,32,96.5,91.2167747730646,387.150611617728,4.01192343645314,498514,0,498514,498514,0,0,0,0,0,498514,498514,0,498514,498514,0,0,0,0,0,16,0,4.01192343645314,32,161,75,74.4781847254617,5547,0,0,0,0,0,0,0,0,0,112.5,0,96.5,0,0,0,0,0,0,0,0,2,193,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
50353,80,6,5797,1,1,0,0,0,0,0,0,0,0,0,0,0,345.006037605658,5797,0,5797,5797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,172.503018802829,172.503018802829,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2007,0,0,0,0,0,0,0,0,0,0,Phishing
58987,53,17,532768,0,2,0,202,0,0,0,0,158,44,101,80.6101730552664,379.151901015076,3.75397921797105,532768,0,532768,532768,0,0,0,0,0,532768,532768,0,532768,532768,0,0,0,0,0,16,0,3.75397921797105,44,158,82,65.8179306876173,4332,0,0,0,0,0,0,0,0,0,123,0,101,0,0,0,0,0,0,0,0,2,202,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
50355,80,6,23515,4,6,928,272,507,0,232,270.181420530724,145,0,45.3333333333333,70.4603907643625,51031.2566446949,425.260472039124,2612.77777777778,3083.75752037096,8209,129,16007,5335.66666666667,8308.3257238347,14928,403,23515,4703,3460.09140052687,9417,1296,0,0,0,0,128,212,170.10418881565,255.156283223474,0,507,109.090909090909,184.535879733701,34053.4909090909,0,1,0,0,0,0,0,0,1,120,232,45.3333333333333,0,0,0,0,0,0,4,928,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
59658,53,17,74066,0,2,0,104,0,0,0,0,66,38,52,19.7989898732233,1404.15305268274,27.002943320822,74066,0,74066,74066,0,0,0,0,0,74066,74066,0,74066,74066,0,0,0,0,0,16,0,27.002943320822,38,66,47.3333333333333,16.1658075373095,261.333333333333,0,0,0,0,0,0,0,0,0,71,0,52,0,0,0,0,0,0,0,0,2,104,-1,-1,0,0,0,0,0,0,0,0,0,0,Phishing
50355,80,6,524,1,1,0,0,0,0,0,0,0,0,0,0,0,3816.79389312977,524,0,524,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1908.39694656489,1908.39694656489,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2054,0,0,0,0,0,0,0,0,0,0,Phishing
